200 245
37	57
16	63
48	23
50	41
49	86
27	53
21	18
64	14
7	18
38	21
26	4
25	77
12	6
33	17
28	71
93	20
5	10
54	10
23	18
10	30
58	29
14	41
24	13
18	74
15	72
9	61
18	20
5	12
27	23
31	12
15	8
20	20
32	9
34	51
45	11
6	11
26	31
55	52
17	33
26	20
16	3
11	7
4	8
12	4
29	26
23	11
23	4
59	19
57	15
110	32
12	33
78	15
62	18
16	53
37	76
14	97
28	43
16	9
15	22
64	19
10	13
4	27
12	13
3	6
7	22
67	16
27	14
13	41
78	35
30	115
8	54
20	91
6	6
72	12
15	92
22	58
19	6
38	48
21	61
10	38
22	47
22	37
5	30
5	9
3	15
24	10
20	37
18	13
23	19
41	27
18	5
6	11
39	24
21	6
62	17
20	15
3	8
44	7
54	27
109	16
37	102
33	11
76	35
46	15
41	6
14	9
27	18
60	9
35	46
56	18
22	92
45	19
5	30
20	28
36	56
15	32
30	11
17	13
18	11
5	2
13	10
22	8
55	28
16	51
71	38
51	75
40	18
32	13
7	42
27	23
5	26
50	37
12	45
11	37
37	32
10	8
17	3
22	5
25	11
7	29
31	20
19	8
32	18
25	5
12	15
31	12
36	10
25	105
57	24
27	18
13	25
20	15
58	20
14	10
6	28
14	59
13	25
17	57
41	82
32	81
25	102
27	18
46	34
77	25
8	15
25	18
64	13
7	19
14	74
57	21
58	11
6	6
4	9
4	3
29	6
13	5
105	22
10	45
39	74
6	31
26	21
13	10
13	29
51	52
54	23
19	19
44	8
11	11
9	9
46	24
36	21
8	8
7	2
2	7
18	5
28	13
28	99
57	27
13	25
21	12
17	46
8	10
24	5
32	69
13	5
11	18
21	13
10	13
11	48
11	23
21	30
23	35
48	43
9	33
28	7
45	39
4	16
43	10
36	23
4	27
24	15
46	12
17	4
7	8
10	36
53	28
2	12
22	14
57	18
24	108
6	2
56	11
9	51
36	48
131	23
49	38
17	37
65	19
40	18
25	48
1	3
35	13
10	10
57	30
94	29
