200 985
19	10
5	14
16	12
6	7
2	9
46	9
48	9
16	23
35	8
7	13
2	6
4	2
26	37
9	5
6	4
26	18
20	29
4	7
15	9
24	8
5	14
16	37
3	4
14	15
2	1
10	14
16	32
8	33
2	6
2	2
8	5
13	4
3	8
17	4
9	17
4	4
27	16
11	5
10	8
6	3
1	4
50	11
5	10
1	1
5	10
6	3
2	9
16	7
21	9
9	27
14	33
16	29
10	56
11	5
8	2
11	14
34	7
1	3
7	11
12	8
76	23
7	5
7	11
3	6
6	2
22	10
2	4
4	14
3	10
10	11
6	1
6	36
1	6
17	16
5	10
9	6
13	11
8	30
2	7
1	1
11	6
18	5
7	47
2	6
12	48
4	27
9	20
5	31
17	18
6	41
20	37
27	61
53	28
16	41
6	13
11	38
18	10
5	32
14	21
25	7
2	12
12	54
14	53
10	26
8	22
11	25
17	26
8	5
11	4
9	19
10	21
17	15
7	9
9	2
2	3
5	3
3	3
6	1
8	2
31	9
6	4
5	7
13	4
13	3
27	9
93	18
16	44
38	22
12	67
15	9
93	14
15	26
3	1
11	51
15	50
10	16
7	6
5	7
16	49
21	11
5	17
42	21
25	12
5	11
2	1
7	10
6	12
9	8
6	6
4	6
6	1
18	5
12	10
10	29
18	5
11	14
7	3
6	6
5	5
20	3
2	8
16	19
7	4
2	12
6	5
1	3
7	10
13	5
19	5
6	7
11	18
6	20
17	3
13	8
7	2
3	16
24	9
3	16
15	5
17	5
2	2
8	3
12	14
10	6
29	8
22	4
8	7
16	10
3	4
19	9
26	8
32	5
4	5
7	2
13	3
11	3
13	3
10	25
10	8
5	17
37	6
40	17
24	75
43	13
6	10
25	68
25	8
9	10
3	11
3	7
5	4
2	9
3	3
3	17
1	3
4	11
21	4
25	8
22	12
3	2
4	8
12	10
7	6
43	9
10	10
11	4
36	6
3	2
12	66
13	64
14	16
5	18
7	16
18	5
6	27
22	28
5	32
19	74
12	5
9	12
9	41
8	35
10	22
9	37
3	7
12	30
8	29
6	5
3	2
4	5
8	3
9	4
9	19
4	20
5	15
16	13
21	21
1	4
4	4
2	8
2	13
2	4
14	5
16	5
8	18
4	9
14	46
20	35
7	32
14	79
42	13
51	9
10	2
4	1
36	19
51	9
2	1
2	4
12	3
25	12
8	4
6	12
4	12
4	8
1	4
4	2
46	28
1	2
3	8
2	6
18	20
7	4
10	4
2	5
15	3
3	1
6	3
1	4
2	2
11	14
30	10
11	11
9	45
8	2
7	6
8	2
21	16
10	4
2	4
7	42
10	34
9	8
8	4
22	8
25	34
19	4
4	26
5	30
24	33
38	12
55	8
9	19
18	9
22	14
8	4
7	8
8	3
4	17
15	18
11	11
2	7
6	4
4	18
4	14
13	3
10	10
8	5
6	5
18	3
30	5
13	2
5	5
2	7
9	56
14	4
19	3
59	14
21	11
45	12
5	17
8	2
2	3
6	2
4	15
4	20
7	40
10	19
1	1
5	2
3	1
9	11
27	15
4	3
17	19
9	16
3	20
33	10
63	16
8	35
1	4
9	5
26	8
2	10
5	21
5	30
46	14
8	8
1	4
19	23
7	2
9	15
46	7
25	6
9	21
4	4
83	16
32	8
8	2
6	11
4	13
4	9
12	9
41	7
10	4
10	48
37	8
32	16
